game_id,offense,last_drive_q2_clock,last_drive_q2_play_id,last_drive_q2,last_drive_end_event_q2,next_drive_q3_play_id,next_drive_q3,next_drive_end_event_q3
20005,CALA,00:50,3922988,8.0,END OF HALF,3923468,9.0,TOUCHDOWN
20005,LAST,01:52,3922865,7.0,PUNT,3923215,8.0,INTERCEPTION
20006,MDNA,02:09,3913841,6.0,END OF HALF,3914396,7.0,PUNT
20006,WVMA,02:56,3913765,6.0,PUNT,3914468,7.0,TOUCHDOWN
20007,ALUN,04:02,3913434,6.0,PUNT,3914447,7.0,TOUCHDOWN
20007,FLMI,01:57,3913667,6.0,FIELD GOAL,3914181,7.0,DOWNS
20008,OHCI,05:57,3913251,6.0,TOUCHDOWN,3914114,7.0,INTERCEPTION
20008,OHMI,02:53,3913474,6.0,DOWNS,3913958,7.0,PUNT
20009,ILNW,07:43,3907945,6.0,TOUCHDOWN,3908266,7.0,MISSED FG
20009,MIST,00:59,3908113,7.0,MISSED FG,3908327,8.0,TOUCHDOWN
20010,MOSW,00:48,3919678,7.0,END OF HALF,3920262,8.0,PUNT
20010,OKST,01:51,3919294,6.0,INTERCEPTION,3919868,7.0,PUNT
20011,MTUN,01:06,3922299,6.0,PUNT,3922787,7.0,PUNT
20011,WAUN,00:25,3922497,7.0,END OF HALF,3922985,8.0,PUNT
20012,MTST,00:27,3915181,8.0,END OF HALF,3915442,9.0,PUNT
20012,WYUN,01:24,3915094,7.0,PUNT,3915251,8.0,PUNT
20013,CAUN,01:57,3925597,5.0,PUNT,3926319,6.0,PUNT
20013,NVRE,00:46,3925678,5.0,FIELD GOAL,3926179,6.0,TOUCHDOWN
20014,CASS,00:49,3926622,7.0,END OF HALF,3926751,8.0,TOUCHDOWN
20014,NMST,03:11,3926485,7.0,PUNT,3926841,8.0,INTERCEPTION
20015,NEUN,02:27,3910334,6.0,TOUCHDOWN,3910684,7.0,TOUCHDOWN
20015,NYFO,00:29,3910449,6.0,END OF HALF,3910481,7.0,PUNT
20016,FLST,00:44,3930436,8.0,END OF HALF,3930477,9.0,TOUCHDOWN
20016,INND,01:28,3930426,8.0,PUNT,3930494,9.0,TOUCHDOWN
20017,KYLO,07:07,3932732,6.0,FUMBLE,3932871,7.0,FIELD GOAL
20017,MSUN,00:44,3932811,7.0,FIELD GOAL,3932910,8.0,FIELD GOAL
20018,NCAT,07:51,3935928,3.0,TOUCHDOWN,3936072,4.0,PUNT
20018,NCDU,00:58,3935974,5.0,TOUCHDOWN,3936100,6.0,TOUCHDOWN
20019,OHST,00:34,3938812,6.0,END OF HALF,3939183,7.0,TOUCHDOWN
20019,ORUN,02:32,3938624,5.0,PUNT,3939090,6.0,TOUCHDOWN
20020,INND,00:46,3941690,8.0,END OF HALF,3942083,9.0,PUNT
20020,OHTO,05:04,3941283,6.0,FIELD GOAL,3941844,7.0,PUNT
20021,CASC,00:01,3958709,5.0,END OF HALF,3959364,6.0,FIELD GOAL
20021,CAST,01:46,3958521,5.0,TOUCHDOWN,3959763,6.0,PUNT
20022,ILSO,00:59,3953794,6.0,END OF HALF,3955006,7.0,PUNT
20022,KSST,03:16,3953455,7.0,FUMBLE,3955377,8.0,FIELD GOAL
20023,OKST,01:44,3938356,7.0,PUNT,3938820,8.0,PUNT
20023,OKTU,00:12,3938465,6.0,END OF HALF,3938764,7.0,PUNT
20024,FLIN,02:10,3957705,6.0,TOUCHDOWN,3959388,7.0,TOUCHDOWN
20024,TXSW,00:05,3959042,7.0,END OF HALF,3959890,8.0,PUNT
20025,TXBA,02:42,3955698,6.0,TOUCHDOWN,3959431,7.0,TOUCHDOWN
20025,TXSO,05:46,3954915,5.0,PUNT,3958824,6.0,PUNT
20026,COUN,00:25,3943595,7.0,END OF HALF,3943778,8.0,PUNT
20026,TXAM,01:50,3943335,7.0,FIELD GOAL,3943906,8.0,PUNT
20027,ARUN,00:36,3953714,7.0,END OF HALF,3954265,8.0,INTERCEPTION
20027,TXUN,03:00,3953241,6.0,PUNT,3953896,7.0,PUNT
20028,OHAK,00:37,3944391,7.0,END OF HALF,3944677,8.0,PUNT
20028,PATE,03:23,3944038,4.0,FIELD GOAL,3944520,5.0,PUNT
20029,TXSF,00:50,3952712,6.0,END OF HALF,3953098,7.0,PUNT
20029,TXTC,01:23,3952447,6.0,INTERCEPTION,3953306,7.0,TOUCHDOWN
20030,LASE,00:05,3954228,7.0,END OF HALF,3955112,8.0,TOUCHDOWN
20030,LATC,00:12,3954179,5.0,INTERCEPTION,3954533,6.0,TOUCHDOWN
20031,AZST,01:35,3959055,4.0,DOWNS,3959640,5.0,PUNT
20031,NVLV,00:24,3959358,4.0,END OF HALF,3959451,5.0,PUNT
20032,NCEA,01:00,3939059,10.0,PUNT,3939337,11.0,PUNT
20032,SCUN,00:04,3939136,9.0,END OF HALF,3939182,10.0,PUNT
20033,ALSO,00:44,3948032,8.0,FIELD GOAL,3949242,9.0,TOUCHDOWN
20033,OHBG,00:06,3948424,7.0,END OF HALF,3948635,8.0,FIELD GOAL
20034,SCCL,00:12,3946820,9.0,MISSED FG,3947239,10.0,TOUCHDOWN
20034,SCST,02:04,3946492,8.0,FIELD GOAL,3946994,9.0,PUNT
20035,AZUN,01:52,3957603,8.0,PUNT,3957964,9.0,PUNT
20035,CASS,01:10,3957754,8.0,MISSED FG,3958124,9.0,PUNT
20036,NJRU,00:09,3944872,6.0,END OF HALF,3945045,7.0,PUNT
20036,NYSY,01:27,3943662,6.0,MISSED FG,3945258,7.0,PUNT
20037,MICE,00:10,3942809,6.0,END OF HALF,3942954,7.0,TOUCHDOWN
20037,PARM,01:37,3942708,6.0,PUNT,3943230,7.0,PUNT
20038,CTUN,00:35,3944995,7.0,END OF HALF,3946057,8.0,PUNT
20038,INPU,02:18,3944548,6.0,TOUCHDOWN,3945301,7.0,TOUCHDOWN
20039,ALBI,01:13,3943446,8.0,END OF HALF,3943754,9.0,PUNT
20039,GAUN,04:01,3943268,8.0,TOUCHDOWN,3943910,9.0,TOUCHDOWN
20040,UTBY,03:14,3957934,6.0,TOUCHDOWN,3958947,7.0,PUNT
20040,UTUN,00:04,3958440,6.0,END OF HALF,3958797,7.0,PUNT
20041,PAPT,02:16,3938832,8.0,TOUCHDOWN,3939239,9.0,PUNT
20041,TNUN,00:19,3939034,8.0,END OF HALF,3939083,9.0,FUMBLE
20042,OHUN,00:44,3942203,6.0,END OF HALF,3943137,7.0,PUNT
20042,PADU,06:08,3941549,6.0,FIELD GOAL,3942519,7.0,TOUCHDOWN
20043,FLBC,00:40,3952347,6.0,END OF HALF,3952488,7.0,PUNT
20043,FLCE,01:28,3951967,6.0,TOUCHDOWN,3952837,7.0,TOUCHDOWN
20044,DCHO,01:02,3957049,9.0,INTERCEPTION,3958157,10.0,PUNT
20044,MDUN,00:37,3957331,9.0,FIELD GOAL,3957831,10.0,TOUCHDOWN
20045,LAGR,02:55,3951571,6.0,PUNT,3952623,7.0,PUNT
20045,MSSO,00:41,3952076,6.0,END OF HALF,3952278,7.0,FUMBLE
20046,ALAU,02:26,3938629,5.0,FUMBLE,3939061,6.0,TOUCHDOWN
20046,ALST,01:36,3938685,7.0,END OF HALF,3938990,8.0,PUNT
20047,KYUN,00:04,3953035,6.0,END OF HALF,3953234,7.0,TOUCHDOWN
